,Product,Consumer_complaint_narrative,category_id
18328,"Money transfer, virtual currency, or money service","This is about Claim # XXXX which BoA denied. {$2500.00} was sent erroneously to a "" XXXX '' on XX/XX/2022 and I've been told that the bank can't help me. This transaction was covered under Reg E so I should be compensated if the bank can't recover the funds.",7
18335,Credit card or prepaid card,"BofA Mastercard No way to close online. 

Telephoned-on hold XXXX XXXX XXXX XXXX, and counting. 

Sent an email. 

No way on line to send secure message.",4
18384,"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/XXXX, I disputed an automobile ( lease car ) XXXX installment account in my Experian online account that was settled and paid by insurance back in XXXX XXXXXXXX ( someone hit my car and the insurance concluded total lost on that vehicle ), and the insurance of the driver ( who hit my car ) agreed to cover the loss. However, on XX/XX/XXXX, Experian sent me a message saying they have a result on my dispute and they will update it on XX/XX/XXXX. And then on the very second day ( XX/XX/XXXX ) Experian immediately decreased my credit scores by XXXX points without any reason ( my scores had always been around XXXX for all these years! ) and since then I saw a late payment error in my Experian online account ( not in my credit report )! The XXXX account that I disputed was paid and closed as agreed, it was NEVER LATE. So I tried to call the Experian ( and XXXX ) many times over the last 3 years but the representative were always telling me that credit score is the underwriter 's job and they can not do anything about it because they are just the representative. I checked on my Experian online account it says I have a serious delinquency ( late payment for over XXXX days ) which is NOT TRUE because I have NEVER had any late payment! I checked my credit reports ( from all 3 credit bureaus there was NO LATE PAYMENT ). This happened to XXXX too because I checked when I logged in into the XXXX online account I saw a late payment error ( over XXXX days late ) that was not supposed to be existed. Same thing XXXX credit report showed no late payment, only in their online account it said late payment. I couldn't dispute the mistake both Experian and XXXX make on my online account. I tried to dispute the problem but because it was not in my credit reports but it was in my online account, they didn't do anything to fix the problem when every time I called in ( to both Experian and XXXX ). And because of this, my credit scores went down significantly for the last 3 years and I still can not find anybody from Experian or XXXX to help me look into that. Please help me I am feeling helpless. This error existed for more than 3 years but BOTH Experian and XXXX refused to check on their mistakes. They should not decrease my credit scores without properly checking on my account. My credit scores were ALWAYS between XXXX and I have never once forgot to pay my bill! Please let me know if I need to submit my 3 credit bureaus ' credit reports to support my evidence!",0
18390,Debt collection,"Hello, I closed my account with XXXXXXXX  to transfer to another mobile carrier a while ago. Moving forward a few days, I got a hard inquiry on my XXXX XXXX and was surprised to see I had a collection from XXXX on my account. 

I immediately contacted XXXX, who confirmed there was nothing they could do and advised me to contact the law firm of Maury Cobb & Associates LLC.I 've been calling them via relay due to the fact I'm deaf, but they kept hanging up on me, so I don't know what to do and am worried it will impact my credit line as it shows I have collections. 

I never received any notifications, warnings, emails, or letters about the remaining balance, which I believe to be around {$160.00}. I had no idea about all of this. 

Please sit down and remove this debt, as this must be an error.",3
18401,Debt collection,"On XX/XX/XXXX at XXXX XXXX., I received a text from my credit card company - XXXX 's XXXX XXXX XXXX XXXX XXXX - that a fraudulent charge was made to XXXX in the amount of {$860.00} at XXXX XXXX XXXX under my former married name ( my last name changed legally in XXXX, XXXX upon my 2nd marriage ). The fraudulent charge used my address but former name. I authorized XXXX to shut down the account and received a text reply, "" Thank you for confirming fraud. We've placed a security hold on your card. Please log in to your account at the website listed on the back of your card, choose Contact Us then Digital forms to access the Fraud Form ''. Which I did. Please note, I have NEVER used or purchased ANYTHING from XXXX. I received notice from XXXX on XX/XX/XXXX by XXXX confirming that the compromised XXXX account was closed due to suspicious activity and a new XXXX card account would be issued. 
On XX/XX/XXXX, I received an invoice from XXXX addressed to my former name but correct address stating that I owed a total balance due of {$980.00}. 
I ignored the statement as I figured that the timing of the invoice was in error and that XXXX had taken care of it. 
On XX/XX/XXXX, I started receiving threating invoices from XXXX regarding the "" past due '' amount which had grown tp {$1000.00}. I called XXXX and explained the situation. I attempted to call XXXX again and also contacted XXXX for their assistance. I was assured that the matter was resolved. I called XXXX again on XX/XX/XXXX, spoke with a representative and thought the matter was resolved. However, I received yet another threating invoice from XXXX on XX/XX/XXXX stating that the invoice was my FINAL NOTICE. The amount had grown to {$1100.00}. 
On XX/XX/XXXX, I received a notice from XXXX XXXX , XXXX debt collectors stating they were attempting to collect a debt for XXXX in the amount of {$1100.00}. I responded in writing and mailed back to them in the "" I want to dispute my debt because '' space : "" I am not ( my former name ). A fraudulent charge was made on my XXXX card. I spoke with XXXX on XX/XX/XXXX. Please cease and desist from sending these notices. This is not my debt. It was made by someone who stole my XXXX card number ''. 
At that point, I assumed the matter was closed. 
However, on XX/XX/XXXX, I received a notice from Maury Cobb , Attorney at Law , LLC as a debt collector trying to collect a debt for XXXX in the amount of {$4400.00}! I responded via the form they provided that stated, "" I want to dispute the debt because : This is not my debt. '' I mailed the form and letter back to the attorney and contacted CFPB in a phone call. 
I am very frustrated because I have done all that I can do on my end to stop this. I did not make the charge and yet, I am receiving these harassments. This needs to stop. 
I pay all of my bills on time and guard my Credit Score closely.",3
18403,Checking or savings account,Everytime when I dont have money in my account they charge me like {$1.00} or {$10.00} overdraft,5
18441,Mortgage,"We conducted the closing for our new home on XX/XX/2022, before this we asked the mortgage company XXXX XXXX XXXX ) many times to remove the Private Mortgage Insurance ( PMI ) from the monthly payment as we have already paid 20 % of the home price, XXXX XXXX kept procrastinating removing the PMI even after the Notary asked the mortgage company reps ( XXXX XXXX XXXX ) over the phone to remove it, XXXX XXXX asked us to sign the Closing Disclosure Documents then he will remove the PMI, suddenly after that we discovered that XXXX XXXX has sold the Home Mortgage to another company ( PH Mortgage Services ), I contacted them and asked them to remove the PMI, PHH refused to do so as they said that they received the mortgage with PMI payment during the first two years. 
I kindly ask for your help in order to remove the monthly payment of PMI from my home mortgage especially that I already paid 20 % of my home price. 

Thanks,",1
18447,Checking or savings account,I received a letter from Bank of America today stating I had a forced closed on an account that I never opened. I called the bank and was informed that the account was opened in XXXX 2022. The fraud department stated that they are going to investigate. What I find odd is that someone else I know had the same thing happen to them recently. We do not have any mutual persons that could get both our information. So I am wondering if someone at the banks are opening accounts like I have read of happening at other banks.,5
18460,Credit card or prepaid card,"I did not receive a statement or other notification from Barclays ( servicing Old Navy Navyist Rewards card ) regarding a payment due on account. The first notification of late payment was from my personal bank credit score monitoring program advising that my credit score had been reduced from XXXX to XXXX. 

After seeing that Barclays had filed the negative item on my credit report, I tried to access my online account. I could not remember my password and I tried to restore access via automated methods. When this did not work, I contacted Barclays customer service who first advised I did not have an online account, but later found that Barclays had a "" do not contact '' feature enabled on the account. Barclay 's customer service had to restore access to my account and waived the late payment fee. Once access was restored, I immediately made the payment. Shortly, thereafter, I received a letter advising contact had been restored on my account.

I do not dispute the amount owed, but I dispute Barclay 's making no effort to send me a printed statement or reminder via text, email, or other method before negatively impacting my credit score for something that could have been resolved in minutes, which could negatively impact my score for years.

I filed a dispute with each of the credit bureaus, with Barclays FCRA Credit Disputes Department, and wrote of my dissatisfaction with Barclays business practices to Gap Inc Customer Relations. 

Each of the bureaus advised that I should resolve with Barclays. Barclays advised that because the amount was past due, they would not be removing the negative reporting from my credit report. 

Below is the timeline of events : XX/XX/22 : received notification of potentially negative activity on credit report XX/XX/22 : contacted Barclays customer service : account access restored, late payment fee waived XX/XX/22 : paid account balance of {$150.00} XX/XX/22 : received letter from Barclays that my request to "" resume all communication regarding [ my ] Navyist Rewards Credit Card Account '' had been restored XX/XX/22 : certified letter sent Barclays FCRA Credit Bureau XXXX department received XX/XX/22 : disputes filed with 3 credit bureaus XX/XX/22 : letter sent to Gap Inc Customer Relations Again, I do not dispute the amount owed or that the payment was late. However, I was unable to access my account, and Barclays made no effort to contact me to inform me of the debt. Nor to my knowledge did I ever change the settings on my account to receive no contact from Barclays.",4
18474,"Credit reporting, credit repair services, or other personal consumer reports","When I reviewed my credit report, I discovered that some of the information was erroneous. The 3 credit bureaus must validate this account in line with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ). It is not authorized to fail to validate this reporting account as unverified information without providing any proof within the period allowed by law. The listed account needs to investigate and correct for erroneous reporting in my file and the listed on my credit report XXXX XXXX XXXX Balance : {$0.00}",0
18480,"Credit reporting, credit repair services, or other personal consumer reports","So, I sent XXXX letters out on XX/XX/2022. Here are my tracking numbers. 
XXXX # XXXX, Experian # XXXX, XXXX # XXXX. To remove personal information, I do not want on my credit report. According to the fair credit reporting act 12 USC 1681. I have the right to privacy. Also, according to 15 USC 6802 no financial institution is not suppose to share my information to third party people these are clear violations of my federally protected consumer rights.",0
18491,"Credit reporting, credit repair services, or other personal consumer reports","I received emails from XXXX XXXX, XXXX XXXX, and XXXX XXXX. They all told me that they got information from Credible. I have never applied for credit from any business. I want to know where Credible got my information and who all they sent my information too. I want them to notify all the organizations that they sent my information to and notify them to remove information.",0
18502,Checking or savings account,XXXX ( financial aid ) dollars was deposited to my account at citi bank which is in the process Of being closed i have called many times to have those funds released to me and they are denying and not being understanding that those funds are needed immediately to cover for school supplies which are needed by the end of this week or else i will get dropped from every class,5
18513,"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/XXXX an account was opened by XXXX XXXX for work estimates on capping a tooth. On XX/XX/XXXX XXXX XXXX charged Comenity CapitalXXXX XXXX XXXX XXXX account fraudulently prior to any work being done or checking what was covered with my insurance. I never received information from Comenity Capital and do not know account number. I sent a letter XX/XX/XXXX explaining the account was fraudulently charged. I also included that if there was further contact they could use my home address or email. They continued to call 6/7 days a week. The response was if I disagree with insurance coverage I need to contact my provider to discuss errors. 
On XXXX XXXX, XXXX I received a call from XXXX at Comenity Bank, ext XXXX, transcript-Good afternoon this message is for XXXX XXXX my name is XXXX I'm calling on XXXX I'm calling from XXXX XXXX XXXX to get the name and number of the attorney representing you for XXXX XXXX  XXXX please return my call today at XXXX extension XXXX please have your attorneys information available at the time of your call if you do not have an attorney and I have many options available for your assistance that you would need to return my call today before I leave my office at XXXX central once again XXXX the number is XXXX extension XXXX thank you and I hope to hear back from you soon have a great day. I was at work and did not receive the voicemail until after XXXX XXXX. 
On XX/XX/XXXX I paid the {$560.00} that was charged to the account without my permission. I dont feel I should be required to contact an attorney or pay any additional money that the company has continued to add. I would like to threatening voice mails to cease also.",0
18532,Credit card or prepaid card,"On XX/XX/2023 I applied for a Care Credit line of credit. A soft pull was done and I was approved for {$7300.00} pending approval of the ID verification process. Once the ID process was completed I called in with a code I was given and at that time I was told I was denied. I requested to speak with the underwriting department to find out why and was told I had to wait to receive a letter. On XX/XX/2023 I received a letter stating data sources such as public records, phone directories or ss databases were checked & based on the results of those checks they were unable to confirm my identity with enough confidence to approve my application. I have had the same phone # for years, the same ss # for XXXX  years and until recently I lived at the same address for 12 years. I have a good credit score with all 3 bureaus as well as a 100 % payment history. Why was I denied????",4
18533,Checking or savings account,"Citibank has locked me out of my account because I was transferring funds of the same amount from my savings account to my linked checking account. They now will not let me into my account because they say my phone number is not "" verfied ''. I asked her how to "" verify '' my phone number and she told me to XXXX it. Even though the number I gave her was the number she has listed, it is not "" verified. '' The case has been escalated and they all give me the same answer with no directions on how to actually verify my number. All I want to do is to close my account.",5
18544,Checking or savings account,My bank money lion/roar money banking is my current bank Im using. I had both my state and federal return direct deposited into my account. My state went through just fine but when my federal that was about XXXX deposited they locked my entire account. I called the customer service to see what I could do and they said I needed to get a notarized statement from the irs along with a copy of the irss state issued id card saying that was the correct amount. After calling the irs they said it was impossible they dont do that and that the deposit is coded so the bank shouldnt have had a problem with it. I returned to calling my bank and then just repeating there was a specialized team handling it that they refused to let me speak to. I asked to just have them refuse the deposit and close my account and they said they couldnt do that even though in their contract that I signed when opening the account stated I could at any time for any reason. This bank is refusing to resolve the problem and holding on to all my money not just the suspicious deposit for an unknown amount of time. I would please like help with this situation and honestly would like to suggest this bank establishment be investigated as a whole. I have video evidence of the way they were talking to me and refusing to help,5
18551,Checking or savings account,"In XX/XX/2022 I received an email from Citibank, because I have a Citi Priority Credit Card, for a promotion on opening a checking account. The promotion was for various bonus pay outs based on deposit levels. There was a link on the email which I used to open the account. I also called customer service to verify that my account showed a promotion on it, after funding, since I had not received any confirmation of the promotion starting, follow-up, etc. Of course, Customer Service said yes, they did show the promotion and there was a 30-day period to allow funding, which I had already met. 

I funded my account for $ XXXX on XX/XX/2022, and maintained over that amount for the bonus period required ( 60 days ) and even further. I went over 90 days with my balance above $ XXXX. I still have around {$100000.00} in the account today. The promo was supposed to be paid out 30 days after completing qualifying activities and I never saw any payment. It has been 6 months since I originally funded the account and still no {$1500.00} promo payment so I messaged Citi. They said my account was never enrolled for the promotion. 

This is clearly a scam, as the link in the email should have allowed the promo to follow me to the account opening page. Also, Customer Service would have been lying when I called, and they confirmed. I am sure I am not the only one who has fallen prey to this scam. 

I am removing all of my business from Citibank. Someone from CFPB should investigate these checking account promotions and Citibank 's follow through on their advertisement.",5
18552,"Credit reporting, credit repair services, or other personal consumer reports",I can not get USBank to correctly update and remove a paid off account from my report on all 3 bureaus. I have requested they remove the account and their own processes do not allow this. I simply need it removed entirely and they refuse to do so.,0
18577,Credit card or prepaid card,"I am filing this complaint against PayPal Credit as they closed by account in either XXXX of XX/XX/XXXX without notifying me after I had gotten behind on one or two payments which I had made arrangements with PayPal Credit to pay and I had kept my arrangement. They made me think my account was still open, but they had actually closed it without my knowledge in either XXXX or XXXX as I wrote. 

To my surprise I found out that they were still charging me late fees and interest each month including in this month of XX/XX/XXXX with late fees of XXXX each month since they closed it in XXXX which I thought was not legal and I need clarification on this because from my conversation 's with other 's in the industry I have been informed that banks or credit cards do not continue to charge late fee 's and interest once an account has been closed. 

It seems as if this is being done in order to hurt me or being doing with malice and without any consideration to a customers problems whose business they sought. I informed them that I had to temporally stop working to help with a family that is over 100 years of age, but they do not care and continue to add these amount 's to my account although they closed the account. I therefore feel they are being very unreasonable and again doing something that I did not think was legal. 

When my account was closed I was over my credit limit by about XXXX. Now they have me owing almost XXXX when my credit limit was just XXXX. I have tried in good faith to ask them to stop charing late fees when my account is closed and stop adding interest to this account but they refuse to do so. Therefore I am seeking your assistance with this issue.",4
18583,"Credit reporting, credit repair services, or other personal consumer reports","I disputed the accuracy and completeness of this account with the credit reporting agencies and the account was supposed to be reinvestigated by the furnisher and deleted if errors were found. I received an updated copy of my credit report and I still found errors with this account on my credit report. 

From my understanding this gives me a private right of action to file a claim under the FCRA with 15 USC 1681s-2b supporting my claim.

I believe I meet all the elements of an FCRA Claim and I have the standing to file arbitration if need be.",0
18626,Checking or savings account,"I wrote to USBank corporate headquarters. XXXX ( XXXX ) called me but was unable to explain why, since I increased my line of credit, I am now being charged a {$28.00} monthly service fee on my checking account when I wasn't previously. She left voice mail that was inadequate. I have called her and left XXXX mail 4 times starting XX/XX/XXXX and over the month of XXXX and she has not returned any of my calls. I contend that I should not now be charged this outrageous fee simply because I increased my line of credit. Or indeed, if this was to be a result of my increasing my line of credit, I should have received notification in writing of such, which I did not. Your assistance in this regard will be greatly appreciated. I have been a customer of USBank for over 20 years. 
XXXX",5
18637,"Credit reporting, credit repair services, or other personal consumer reports","When I reviewed my credit report, I discovered that some of the information was erroneous. The 3 credit bureaus must validate these inquiries in line with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ). It is not authorized to fail to validate these reporting inquiries as unverified information without providing any proof within the period allowed by law. The following inquiries that need to be investigated and removed from erroneous reporting in my file are listed on my credit report. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",0
18664,Checking or savings account,"On XX/XX/XXXX I opened a Citi Accelerate XXXX XXXX Account. Citi was offering a Tiered Bonus offer where you had to deposit new to Citibank funds into this new account within 20 days of opening the account. The offer was {$150.00} cash bonus for $ XXXX {$49000.00} or {$450.00} for balances of $ XXXX or more. I deposited $ XXXX of new to Citibank cash on XX/XX/XXXX and then another $ XXXX on XX/XX/XXXX. To be safe, I also deposited another {$6100.00} of new to Citibank cash XX/XX/XXXX. 

On XX/XX/XXXX I received an email from CitiBank thanking me for enrolling in the Citi Accelerate High-Yield Savings Tiered Bonus Offer. The email included a reminder as to what was needed to receive the Cash bonus : - Deposit New-to-Citibank Funds into your XXXX savings account within 20 days of account opening. The balance on the XXXX calendar day after you open our account will determine your maximum cash bonus. 
- Maintain the required Minimum balance in your eligible account for 60 days from the XXXX day after account opening. 
The email also included a link to the full "" Terms and Conditions '' which essentially reiterated this offer. 
Finally, the email said the cash bonus would be paid to my account within 30 days of completing the required activities. It also said that this account and my Citi Credit Card had to remain open and in good standing. 

I maintained the balance of $ XXXX or more from XX/XX/XXXX - XX/XX/XXXX. My new savings account and Citi Credit Card remained open and in good standing. 

I never received the bonus. 

I called CitiBank multiple times over the months after I met all of the stated criteria and asked why I hadn't received the {$450.00} bonus. Every time I called the CitiBank representative would research my account and say the I'd met all of the requirements and that I just needed to be patient as it sometimes took a bit longer for the bonus to be applied to a customer 's account. This is a clear "" unfair and deceptive act '' violation as they did not pay the bonus as advertised. After receiving this same response repeatedly for months, I called again on XX/XX/XXXX and registered a formal complaint with Citi. 

On XX/XX/XXXX I received a letter saying that CitiBank had completed their research and that the promotion was not offered on my account. They asked for me to send them a copy of the disclosure that was addressed to me or they would consider the matter closed. This should not be up to the consumer to have to provide the financial institution with their offerings and terms and conditions. The institution should have that information readily available. 

Regardless, I researched the matter and found the XX/XX/XXXX email from Citi that contained the offer on the account I opened along with the aforementioned Terms and Conditions. 

I called again on XX/XX/XXXX and the representative said that I could not email them the disclosure that they asked me for, but that they needed to further research the matter and someone from the "" back office '' would contact me. I let them know that I would be submitting an "" Unfair and Deceptive '' complaint to the CFPB as soon as we got off the phone as Citi continued to refuse to pay the bonus offer that Citi advertised and for which I met all of the terms and conditions.",5
18703,Checking or savings account,"Wells Fargo advertises that they may make funds available for direct deposit payroll checks two days early for payroll checks, pensions, and government assistance checks. 
Since XX/XX/23, I have received my payroll check two days early into my account. I work for a government agency. Due to this, I was under the impression that would be the process going forward. I then scheduled bill payments based on this. This is a pay week for me and I believed the money would be in my account on XX/XX/23 as they have practiced this in the past. The actual pay date is XX/XX/23. On XX/XX/23, the money was not applied and I incurred overdraft fees based on the bill pay I had scheduled. On XX/XX/23, I contacted the Wells Fargo Customer service line and spoke with an agent. The agent stated that the two day early funds program is not guaranteed and is not always available. I understand that and the same verbiage is listed on their website, however this a is payroll check from a government agency in which the funds have already been sent. There is no difference in the account of where the payroll check is coming from nor is the amount different. I am paid the same amount every two weeks. It is not best practice to allow early deposits on some payroll deposits and not others on the same customer account. I asked for the overdraft fees to be reduced and the agent would only give a partial credit. When I ask for a supervisor, the agent stated that they could send it for another review while I was on the phone with them. Then the agent came back and credited the entire amount. Wells Fargo continues to enter into deceptive practices that marginalize those who make minimum wages and struggle to pay bills. I plan my bill paying around the days when I have seen the funds available. I will tell you I will never make that mistake again, nor will I rely on Wells Fargo to make my funds available early. At this point, they are making it look like they are helping their customers by offering early pay day but that is not what is truly happening. If I had not pushed to speak to a supervisor and accepted the partial credit, Wells Fargo would have profited off the mistakes I made due to believing that they are truly doing the right thing with their customers by offering early bill pay. Consumers should be educated on this practice and how it can be deceptive since Wells Fargo picks and chooses at their leisure to provide a consumer with the funds early or not. There needs to be a standard that is followed to see that once a consumer receives funds early, this would be the case with every payroll check going forward.",5
18728,"Credit reporting, credit repair services, or other personal consumer reports","Hi, My name is XXXX XXXX XXXX. I sent a letter concerning erroneous and unknown things on my credit score record. To this present day, over 30 days later, I actually have no longer obtained a response yet. I sense like Im being taken advantaged of and being unnoticed. Section 611 ( a ), It states that failure to research these objects inside 30 days offers a purpose to straight away remove those items from my credit report. Its been over 30 days so they have to be deleted directly. I demand that those debts be deleted without delay or I will report for litigation due to the stress you have caused me. My records turned into also impacted by way of the XXXX data breach and might are becoming into the fingers of the wrong person.",0
18735,"Credit reporting, credit repair services, or other personal consumer reports","Hi, My name is XXXX XXXX XXXX. I sent a letter concerning erroneous and unknown things on my credit score record. To this present day, over 30 days later, I actually have no longer obtained a response yet. I sense like Im being taken advantaged of and being unnoticed. Section 611 ( a ), It states that failure to research these objects inside 30 days offers a purpose to straight away remove those items from my credit report. Its been over 30 days so they have to be deleted directly. I demand that those debts be deleted without delay or I will report for litigation due to the stress you have caused me. My records turned into also impacted by way of the XXXX data breach and might are becoming into the fingers of the wrong person.",0
18741,"Credit reporting, credit repair services, or other personal consumer reports","Im submitting a complaint to you today to inform you I was the victim of identity theft. I researched how to remove the fraudulent items in my report and found that I need to visit FEDERAL TRADE COMMISSION or XXXX XXXX XXXXXXXX to file a report Per FCRA section 605b Credit Reporting Agencies are required to remove/block any items listed on an id theft report. Please find the ATTACHED documents to assist in blocking the erroneous information which is being posted to my report. 

Here is the list of items that do not belong to me or were opened without my permission. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",0
18742,"Credit reporting, credit repair services, or other personal consumer reports",I do not live at the addresses on my credit report. Most of the addresses listed I never lived at. Also listed on each report are telephone number I have never been associated with my only telephone number is XXXX XXXX XXXX. Also this is my current and only address XXXX XXXX XXXX XXXX XXXX. all of the other addresses and telephone numbers listed on my report is fraud please remove,0
18749,"Money transfer, virtual currency, or money service","Northern Trust Bank incorrectly desposited a trust into my XXXX IRA and is unwilling to help remedy the problem. 

Approximately 1 year ago ( XX/XX/XXXX ), I received shares from a XXXX in the amount of approximately {$500000.00}. I was contacted by Northern Trust Bank ( NTB ) to process the transfer. I was asked if I had an account elsewhere without specification for type. I provided the account number for a XXXX XXXX Account- which was a XXXX IRA. NTB then deposited the shares into that XXXX IRA. I had no knowledge that I needed to create a different account type or that something incorrect occurred. 

Fast forward to XX/XX/XXXX, I went into XXXX to begin the process to speak with a financial planner to start learning what to do with the funds. I was informed at that time that the money was incorrectly send to the XXXX IRA and it needed to be fixed. 

I contacted NTB to ask for support. Despite many attempts and many emails/calls to different people at NTB, they refused to help. In one email the response was, "" Please work with your company to get this matter resolve as your mistake has nothing to do with Northern Trust ''. 
I disagree that it has nothing to do with NTB and that it was my mistake. NTB was a fiduciary advisor to the trusts and I believe, if they were working directly with me to make sure the funds were distributed correctly, which is their responsibility and for which they have expertise, they should have explained exactly which type of account I should open, they should have verified the account information to see that the one I provided was a XXXX and then provided instruction on next steps. If they would have directed me to open a brokerage account, I would have done so. 

XXXX have been going above and beyond to try to help remedy the situation. In an attempt to fix the error, XXXX attempted to return the funds to NTB to again receive them into the appropriate accounts. NTB declined some, but accepted some. Currently, there are approximately 600 shares in a "" holding account '' that I can not access and that no one can seem to find, and the remainder are still in my XXXX IRA. 

I have spent countless hours on the phone with XXXX and XXXX ( where the holding account lives ) in an effort to get the approximately 600 shares back. I have been unsuccessful to date.

I would like to understand why NTB did not verify the account details to ensure the shares were going to an acceptable place, why they did not specify the account type needed, and why they are not willing to help remedy the situation when it was their fiduciary duty to ensure the funds were transferred correctly.",7
